Source,Target,Type
770674525,190816246,Undirected
770674525,770802334,Undirected
770674525,770858011,Undirected
770674525,24223,Undirected
770674525,770675878,Undirected
12858,11450,Undirected
12858,136233481,Undirected
12858,15928,Undirected
12858,13034,Undirected
12858,770813276,Undirected
9749,770672122,Undirected
9749,9382,Undirected
9749,9377,Undirected
9749,9414,Undirected
9749,9559,Undirected
10097,12903,Undirected
10097,14246,Undirected
10097,770771479,Undirected
10097,12856,Undirected
10097,18062,Undirected
770858011,684532133,Undirected
770858011,10901,Undirected
770858011,24223,Undirected
770858011,770816610,Undirected
770858011,10540,Undirected
15928,11450,Undirected
15928,136233481,Undirected
15928,17,Undirected
15928,18948,Undirected
770859139,770680214,Undirected
770859139,76202668,Undirected
770859139,770675616,Undirected
770859139,771246678,Undirected
770859139,387371589,Undirected
12895,12907,Undirected
12895,12953,Undirected
12895,770670652,Undirected
12895,12952,Undirected
12895,770685760,Undirected
10579,10375,Undirected
10579,632295045,Undirected
10579,1121,Undirected
10579,10016,Undirected
10579,769964099,Undirected
770793166,9917,Undirected
770793166,15744,Undirected
770793166,10859,Undirected
770793166,284431475,Undirected
770793166,24477,Undirected
18062,770677066,Undirected
18062,10203,Undirected
18062,18076,Undirected
18062,17873,Undirected
18062,18404,Undirected
6936,10093,Undirected
13018,770680916,Undirected
13018,12878,Undirected
13018,10015,Undirected
13018,10093,Undirected
13604,12939,Undirected
13604,632318478,Undirected
12877,190815509,Undirected
12877,12944,Undirected
12877,263042951,Undirected
12877,18059,Undirected
12877,12860,Undirected
770682510,13278,Undirected
770682510,771231858,Undirected
770682510,770768030,Undirected
10990,10528,Undirected
13837,16743,Undirected
14235,13065,Undirected
14235,770680780,Undirected
13933,14211,Undirected
771182967,10473,Undirected
771182967,13401,Undirected
771182967,16884,Undirected
771182967,770802078,Undirected
770806389,771209113,Undirected
658854,155563568,Undirected
658854,770676594,Undirected
770804511,666104050,Undirected
770804511,770681034,Undirected
770804511,770671663,Undirected
770804511,633640011,Undirected
770804511,770819772,Undirected
14012,770785740,Undirected
428909306,549495813,Undirected
428909306,155563568,Undirected
428909306,489388105,Undirected
428909306,770676594,Undirected
770858225,770688140,Undirected
770858225,18255,Undirected
770858225,770791955,Undirected
770858225,20116,Undirected
770682867,12979,Undirected
770682867,770808473,Undirected
16955,266746773,Undirected
16955,12875,Undirected
16896,771042121,Undirected
770785567,771209113,Undirected
603201623,770809201,Undirected
17050,21611,Undirected
13518,9400,Undirected
13518,770863875,Undirected
13518,13831,Undirected
18488,770856113,Undirected
770807393,771208989,Undirected
